Glycemic Index,Calories,Carbohydrates,Protein,Fat,Sodium Content,Potassium Content,Magnesium Content,Calcium Content,Fiber Content
10,25,5.8,1.3,0.1,18,170,12,40,2.2
35,43,9.6,2.3,0.6,682,233,60,168,0.5
35,36,5.8,2.0,0.6,600,192,33,15,0.9
0,0,0.0,0.0,0.0,1,8,1,2,0.0
72,30,7.6,0.6,0.2,1,112,10,8,0.4
40,43,10.6,0.7,0.4,1,77,6,16,2.6
0,106,4.5,14.0,2.0,9,433,57,9,2.8
0,189,0.0,27.0,8.2,65,339,29,13,0.0
0,250,0.0,26.0,17.0,54,392,22,7,0.0
0,258,0.0,25.0,17.0,57,299,23,14,0.0
0,143,0.0,30.0,3.0,50,437,35,9,0.0
55,389,66.0,16.9,6.9,2,429,177,54,10.6
85,247,48.0,9.4,1.8,381,125,29,80,6.7
37,124,25.7,4.5,0.8,3,118,37,14,4.2
53,121,21.3,4.2,2.2,3,119,38,15,3.4
15,25,5.3,2.0,0.3,30,320,15,22,2.0
15,17,3.1,1.2,0.2,2,261,21,16,1.0
35,43,9.6,2.3,0.6,682,233,60,168,0.5
35,36,5.8,2.0,0.6,600,192,33,15,0.9
0,0,0.0,0.0,0.0,1,8,1,2,0.0
72,30,7.6,0.6,0.2,1,112,10,8,0.4
40,43,10.6,0.7,0.4,1,77,6,16,2.6
59,69,18.0,0.7,0.2,2,191,11,10,0.9
45,43,11.0,0.9,0.1,0,181,10,43,2.3
39,52,14.0,0.3,0.2,0,107,5,6,2.4
38,57,15.0,0.4,0.1,1,116,9,11,3.1
15,160,9.0,2.0,15.0,7,485,29,14,7.0
45,354,15.0,3.3,33.5,20,356,32,14,9.0
0,119,0.0,0.0,13.5,0,0,0,0,0.0
0,614,19.0,20.0,55.0,0,749,303,268,11.6
11,59,3.6,10.0,0.4,36,141,12,121,0.0
0,106,4.5,14.0,2.0,9,433,57,9,2.8
0,189,0.0,27.0,8.2,65,339,29,13,0.0
0,250,0.0,26.0,17.0,54,392,22,7,0.0
0,258,0.0,25.0,17.0,57,299,23,14,0.0
0,143,0.0,30.0,3.0,50,437,35,9,0.0
55,389,66.0,16.9,6.9,2,429,177,54,10.6
85,247,48.0,9.4,1.8,381,125,29,80,6.7
37,124,25.7,4.5,0.8,3,118,37,14,4.2
53,121,21.3,4.2,2.2,3,119,38,15,3.4
62,68,14.0,2.0,1.0,3,63,29,14,2.2
73,130,29.0,2.7,0.3,1,43,7,10,0.4
10,117,20.0,7.0,0.6,8,470,30,40,8.0
0,265,3.0,18.0,21.0,138,61,22,516,0.0
0,185,10.0,20.0,7.0,580,305,36,28,2.0
0,141,2.0,18.0,7.0,593,436,39,23,0.0
46,323,58.0,6.9,7.4,242,174,23,65,4.2
85,262,32.0,6.0,12.0,400,172,22,25,2.0
60,133,17.0,2.6,5.0,78,167,28,27,1.4
85,39,8.0,2.0,0.4,28,68,7,15,1.0
75,230,21.0,8.0,14.0,363,214,14,44,1.5
0,250,5.0,26.0,15.0,612,438,37,32,0.0
0,360,10.0,24.0,25.0,820,320,30,50,2.0
0,220,10.0,12.0,16.0,370,330,70,390,3.0
50,380,45.0,18.0,12.0,800,220,40,40,2.0
85,160,20.0,4.0,8.0,460,520,40,105,4.0
42,210,35.0,10.0,4.0,440,540,60,70,8.0
25,160,18.0,2.0,9.0,360,460,25,25,7.0
55,320,55.0,12.0,5.0,450,560,40,70,11.0
85,80,15.0,2.0,1.0,250,120,10,20,2.0
85,320,45.0,8.0,14.0,480,230,30,50,3.0
41,180,30.0,5.0,5.0,40,280,20,200,0.0
65,150,20.0,2.0,7.0,10,20,5,20,1.0
25,352,63.0,24.0,1.0,6,1202,36,19,7.0
95,297,46.0,8.0,9.0,532,322,40,95,5.0
0,106,20.0,3.0,1.0,221,83,20,13,2.0
0,270,5.0,29.0,15.0,540,328,34,68,1.0
65,318,56.0,7.0,7.0,591,142,33,50,2.0
85,265,38.0,3.0,12.0,140,320,20,180,4.0
85,350,15.0,7.0,29.0,780,460,55,190,2.0
50,380,45.0,18.0,12.0,800,220,40,40,2.0
40,120,27.0,1.0,0.0,1100,120,14,27,3.0
65,297,46.0,7.0,11.0,585,260,45,55,8.0
35,90,5.0,1.0,8.0,88,110,9,13,1.0
86,186,44.0,3.0,0.0,36,30,2,81,0.0
0,285,14.0,9.0,21.0,380,400,28,270,3.0
85,80,13.0,2.0,3.0,50,40,8,8,1.0
78,450,55.0,10.0,22.0,810,530,60,100,8.0
20,120,9.0,2.0,9.0,330,420,45,50,3.0
55,40,10.0,0.0,0.0,100,30,2,5,0.0
50,480,50.0,28.0,18.0,1000,420,38,90,2.0
65,315,52.0,7.0,9.0,590,130,25,50,2.0
85,200,20.0,3.0,10.0,70,100,10,150,0.0
27,215,38.0,11.0,1.0,260,1140,48,87,6.0
65,160,30.0,4.0,2.0,370,105,15,16,2.0
50,340,55.0,8.0,10.0,590,240,30,40,4.0
0,290,4.0,29.0,18.0,620,420,33,20,1.0
35,180,30.0,4.0,5.0,380,140,30,70,4.0
0,250,10.0,28.0,13.0,620,370,36,40,3.0
20,130,15.0,2.0,8.0,370,410,24,35,5.0
0,320,5.0,16.0,27.0,540,310,29,460,1.0
85,180,23.0,4.0,8.0,230,160,15,60,2.0
0,200,10.0,25.0,8.0,690,380,40,80,1.0
65,260,32.0,7.0,12.0,580,460,38,35,3.0
0,180,2.0,24.0,9.0,460,300,25,18,1.0
0,150,12.0,5.0,10.0,520,380,28,60,3.0
30,90,8.0,3.0,5.0,110,180,10,80,1.0
0,290,10.0,12.0,22.0,620,380,30,450,3.0
65,320,50.0,7.0,9.0,560,240,35,60,3.0
0,180,2.0,25.0,8.0,380,410,35,20,0.0
15,240,8.0,15.0,17.0,570,560,38,430,3.0
70,150,14.0,3.0,9.0,260,75,20,15,2.0
0,220,8.0,24.0,11.0,630,410,30,30,2.0
15,230,5.0,14.0,18.0,380,310,30,380,1.0
65,180,20.0,3.0,17.0,440,180,15,35,3.0
50,400,45.0,28.0,15.0,780,320,30,40,2.0
25,60,15.0,2.0,0.0,450,110,20,20,1.0
55,220,40.0,5.0,4.0,520,130,28,25,2.0
50,250,40.0,5.0,7.0,550,70,20,30,1.0
65,300,40.0,8.0,12.0,150,90,10,150,2.0
27,350,55.0,15.0,6.0,460,730,42,80,10.0
60,250,25.0,8.0,14.0,520,300,25,40,3.0
40,180,25.0,5.0,8.0,400,500,30,60,5.0
85,260,26.0,5.0,16.0,470,170,25,30,2.0
25,180,30.0,10.0,4.0,460,700,35,50,6.0
90,200,20.0,5.0,12.0,370,160,20,25,2.0
70,280,50.0,6.0,6.0,520,190,25,40,2.0
70,150,25.0,3.0,5.0,70,50,5,20,1.0
80,320,40.0,7.0,15.0,590,220,20,20,3.0
0,350,12.0,25.0,24.0,790,400,35,50,1.0
85,180,32.0,7.0,2.0,570,220,25,40,3.0
35,320,45.0,8.0,12.0,460,410,28,45,5.0
85,180,25.0,4.0,8.0,410,110,15,20,2.0
20,220,15.0,10.0,14.0,480,420,25,350,3.0
15,150,10.0,4.0,11.0,450,300,28,80,4.0
70,300,40.0,6.0,14.0,560,540,40,60,6.0
50,400,45.0,28.0,15.0,780,320,30,40,2.0
50,120,25.0,3.0,1.0,450,230,18,20,1.0
15,280,12.0,12.0,20.0,600,480,32,400,3.0
0,220,10.0,25.0,10.0,580,400,35,40,0.0
50,380,50.0,10.0,16.0,560,320,30,70,6.0
0,220,2.0,30.0,10.0,480,340,25,20,1.0
50,450,40.0,25.0,20.0,850,380,40,60,2.0
65,180,30.0,5.0,6.0,120,90,10,150,1.0
0,250,10.0,28.0,13.0,620,370,36,40,3.0
65,280,50.0,5.0,8.0,540,180,25,40,2.0
55,230,30.0,5.0,10.0,620,320,28,60,4.0
30,180,30.0,10.0,2.0,420,730,30,60,8.0
10,200,15.0,8.0,14.0,520,400,25,80,4.0
55,220,40.0,4.0,6.0,470,180,25,20,2.0
0,320,10.0,25.0,20.0,650,380,35,50,1.0
27,280,45.0,15.0,4.0,580,750,38,80,9.0
85,180,20.0,4.0,10.0,400,280,20,30,2.0
70,320,40.0,8.0,12.0,480,150,25,50,3.0
20,260,15.0,10.0,16.0,540,450,28,350,2.0
50,200,30.0,6.0,8.0,380,240,20,30,2.0
15,180,20.0,4.0,10.0,460,380,30,40,5.0
25,320,25.0,8.0,18.0,590,480,32,100,4.0
35,180,30.0,5.0,4.0,420,280,25,20,6.0
50,350,50.0,8.0,12.0,660,320,30,50,4.0
0,340,12.0,25.0,22.0,710,390,35,60,2.0
65,150,30.0,4.0,2.0,440,180,22,20,2.0
25,250,20.0,8.0,16.0,520,450,30,100,5.0
20,280,15.0,12.0,18.0,550,480,32,300,3.0
55,200,35.0,6.0,4.0,480,280,25,40,3.0
60,280,45.0,5.0,8.0,560,320,25,60,4.0
0,290,10.0,26.0,16.0,620,380,35,50,3.0
45,220,25.0,5.0,12.0,480,300,28,80,4.0
20,260,15.0,12.0,18.0,550,480,32,400,4.0
85,80,15.0,2.0,2.0,220,120,10,20,2.0
70,320,40.0,8.0,14.0,560,250,25,50,4.0
0,290,15.0,25.0,16.0,680,390,35,60,1.0
42,260,45.0,10.0,4.0,580,750,40,80,10.0
65,320,45.0,8.0,14.0,580,350,25,40,4.0
0,360,12.0,28.0,24.0,700,410,40,70,2.0
65,200,30.0,5.0,8.0,380,240,20,30,2.0
75,260,35.0,5.0,12.0,460,180,20,50,2.0
0,280,10.0,25.0,16.0,620,380,35,40,2.0
70,240,35.0,5.0,10.0,120,180,20,160,2.0
45,220,20.0,6.0,14.0,540,300,28,80,3.0
65,150,35.0,2.0,0.0,35,40,5,80,0.0
65,220,30.0,4.0,10.0,95,150,20,180,1.0
